CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,CreditAmount,Credit_Amount_Term,Credit_History,Property_Area,Credit_Status
1,Male,19,15,39,No,0,Graduate,No,5849,0,,360,1,Urban,Y
2,Male,21,15,81,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
3,Female,20,16,6,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
4,Female,23,16,77,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
5,Female,31,17,40,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
6,Female,22,17,76,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
7,Female,35,18,6,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
8,Female,23,18,94,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
9,Male,64,19,3,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
10,Female,30,19,72,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
11,Male,67,19,14,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
12,Female,35,19,99,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
13,Female,58,20,15,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
14,Female,24,20,77,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
15,Male,37,20,13,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
16,Male,22,20,79,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
17,Female,35,21,35,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
18,Male,20,21,66,No,0,Graduate,No,3510,0,76,360,0,Urban,N
19,Male,52,23,29,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
20,Female,35,23,98,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
21,Male,35,24,35,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
22,Male,25,24,73,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
23,Female,46,25,5,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
24,Male,31,25,73,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
25,Female,54,28,14,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
26,Male,29,28,82,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
27,Female,45,28,32,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
28,Male,35,28,61,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
29,Female,40,29,31,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
30,Female,23,29,87,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
31,Male,60,30,4,Yes,1,Graduate,,4166,3369,201,360,,Urban,N
32,Female,21,30,73,No,0,Graduate,No,3167,0,74,360,1,Urban,N
